"SYMBOL 
","OPEN 
","HIGH 
","LOW 
","PREV. CLOSE 
","LTP 
","CHNG 
","%CHNG 
","VOLUME 
(shares)","VALUE 
 (₹ Crores)","52W H 
","52W L 
","30 D   %CHNG 
","365 D % CHNG 
 18-Apr-2023"
"NIFTY 50","22,212.35","22,295.55","22,153.80","22,147.90","22,275.80","127.90","0.58","16,76,82,489","14,901.27","22,775.70","17,553.95","0.42","25.41"
"POWERGRID","287.90","289.90","277.70","274.25","284.30","10.05","3.66","2,53,88,211","719.37","298.90","171.49","3.53","19.08"
"BPCL","604.50","617.60","601.05","592.30","609.85","17.55","2.96","63,77,691","389.83","687.95","330.30","1.72","76.91"
"BHARTIARTL","1,220.00","1,251.00","1,215.80","1,216.45","1,248.70","32.25","2.65","53,88,787","662.63","1,251.00","752.55","-0.72","60.11"
"HINDALCO","616.40","623.25","612.45","608.85","623.00","14.15","2.32","31,29,079","193.34","625.40","397.80","14.63","41.08"
"GRASIM","2,245.05","2,290.50","2,240.20","2,242.95","2,290.00","47.05","2.10","2,48,745","56.34","2,323.75","1,655.70","1.81","31.56"
"M&M","2,031.30","2,072.80","2,030.00","2,031.30","2,070.65","39.35","1.94","10,75,622","221.20","2,108.60","1,196.00","9.44","68.61"
"ADANIPORTS","1,315.95","1,333.45","1,315.65","1,304.35","1,329.05","24.70","1.89","22,28,113","295.75","1,424.95","651.05","2.98","98.06"
"HDFCLIFE","618.00","624.00","609.50","604.60","616.00","11.40","1.89","52,35,584","322.31","710.60","511.40","-4.65","13.58"
"LT","3,561.95","3,604.05","3,547.55","3,543.45","3,600.15","56.70","1.60","11,01,062","393.55","3,860.00","2,168.50","-0.50","59.86"
"TATASTEEL","160.90","163.60","160.50","160.05","162.55","2.50","1.56","2,72,65,756","441.49","169.80","104.05","6.91","48.75"
"TCS","3,876.80","3,936.00","3,875.15","3,872.80","3,932.25","59.45","1.54","12,04,951","469.77","4,254.75","3,070.25","-6.74","23.70"
"LTIM","4,722.90","4,745.00","4,677.00","4,662.85","4,733.05","70.20","1.51","2,12,407","100.01","6,442.00","4,132.20","-9.76","7.97"
"EICHERMOT","4,356.00","4,428.00","4,356.00","4,355.70","4,420.30","64.60","1.48","4,79,944","211.21","4,428.00","3,156.15","17.73","33.47"
"TATACONSUM","1,143.00","1,159.00","1,138.00","1,135.65","1,152.00","16.35","1.44","7,01,146","80.39","1,269.00","696.45","-4.32","60.62"
"SHRIRAMFIN","2,419.90","2,438.25","2,396.00","2,400.75","2,432.30","31.55","1.31","3,54,535","85.57","2,605.65","1,295.90","3.98","79.27"
"SBILIFE","1,465.00","1,483.65","1,458.75","1,462.75","1,480.95","18.20","1.24","5,63,021","82.68","1,569.40","1,090.60","-1.81","27.69"
"BAJAJ-AUTO","8,967.90","9,090.00","8,950.00","8,919.15","9,020.00","100.85","1.13","3,16,945","286.25","9,357.95","4,175.05","4.66","111.89"
"JSWSTEEL","846.10","854.95","842.45","845.25","853.80","8.55","1.01","9,49,165","80.56","895.75","681.05","5.08","17.50"
